plot_index,plot_desc,plot_date,plot_lat,plot_long,plot_depth_1,plot_depth_2,plot_depth_3,plot_depth_4,plot_depth_mean,plot_desc,empty,notes,L_count,P_count,A_count,total_BCMs,plot_lat_decimal,plot_long_decimal,dist_to_crest_m,dist_to_channel_m,perc_coral_heads,general_substrate,padina_present,sarg_present,turb_present,hal_present,bcm_index,bcm_species,bcm_substrate,bcm_length
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,0,p,dc,3
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,1,p,dc,5
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,2,p,dc,3
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,3,p,dc,4
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,4,p,dc,5
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,5,p,dc,4
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,6,p,dc,4
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,7,l,dc,5
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,8,l,dc,5
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,9,l,dc,5
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,10,l,dc,5
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,11,l,dc,3
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,12,l,dc,2
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,13,l,dc,2
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,14,l,dc,2
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,15,l,dc,2
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,16,l,dc,1
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,17,l,dc,1
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,18,l,dc,3
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,19,l,dc,3
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,20,l,dc,6
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,21,l,dc,3
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,22,l,dc,4
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,23,l,dc,4
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,24,l,dc,4
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,25,l,dc,4
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,26,l,dc,4
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,27,l,dc,5
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,28,l,dc,6
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,29,l,dc,6
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,30,l,dc,4
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,31,l,dc,2
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,32,l,dc,2
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,33,l,dc,3
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,34,l,dc,3
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,35,l,dc,3
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,36,l,dc,3
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,37,l,dc,4
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,38,l,dc,8
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,39,l,dc,2
9,north_barrier,10/30/19,17˚28’40.0”S,149˚49’59.7”W,80,75,90,75,80,large fragments DC substrate+ 50% coral/algae,n,,35,7,0,42,-17.477778,-149.83325,90,678,50,dc_fragments,0,0,0,0,40,l,dc,3
